248158876799729664,886,12,1,0,9,8,0,25,0,0,6,0
329977469350445069,240,10,10,5,6,0,0,0,0,0,0,12
436258859267522576,28,10,10,5,5,0,0,0,0,0,7,0
140424290171486208,263,0,0,7,5,0,0,0,0,0,0,0
246334877287317504,682,1,1,4,4,22,0,0,0,45,6,0
352867028719370252,60,10,10,5,5,0,0,1,0,0,0,0
293066066605768714,191,9,12,6,5,0,0,0,0,1,4,0
389625395261210624,24,10,10,5,5,0,0,0,0,0,0,0
302765013548924929,26,10,10,5,5,0,0,0,0,0,4,0
313504674521022466,147,10,10,5,5,0,0,0,0,0,0,9
171040727432691719,15,10,10,5,5,0,0,0,0,0,3,0
394643176729608194,1,10,10,5,5,0,0,0,0,0,0,0
328035409055449089,54,8,10,5,5,0,0,1,9,0,2,0
137645249890615296,1,10,10,5,5,0,0,0,0,0,0,6
436177953290715136,1401,3,0,0,0,0,5,4,0,0,1,0
247096918923149313,76,0,0,0,0,0,0,0,0,0,0,2
268475541772828672,2,0,0,0,0,0,0,0,0,0,0,0
